OBJECTID;ID_ELEM;ID_PERC;ORIG;NOME;COD_ENTE;STATO;TIPO_ELE;SEDE;ID_SEDE;FITTIZIO;C_LARGH;C_TF;FLG_ST;NODO_INI;NODO_FIN;VISIBILE;PERCORSOAM;CLAS_AMM;ISTAT_ENTE;PERIMETRO;ORIG_FID
258350.000000;01777800180566;000000186026;2.00000000000;SS 50 BIS DEL GRAPPA E DEL PASSO ROLLE;1.00000000000;1.00000000000;2.00000000000;1.00000000000;;0E-11;3.00000000000;21.0000000000;0E-11;0177780;0180566;1.00000000000;SS 50 BIS DEL GRAPPA E DEL PASSO ROLLE (BL);1.00000000000;025022;90.18;7941
258351.000000;01654060177780;000000186026;2.00000000000;SS 50 BIS DEL GRAPPA E DEL PASSO ROLLE;1.00000000000;1.00000000000;2.00000000000;1.00000000000;;0E-11;3.00000000000;21.0000000000;0E-11;0165406;0177780;1.00000000000;SS 50 BIS DEL GRAPPA E DEL PASSO ROLLE (BL);1.00000000000;025022;24.18;7942
258352.000000;01654040163965;000000186026;2.00000000000;SS 50 BIS DEL GRAPPA E DEL PASSO ROLLE;1.00000000000;1.00000000000;2.00000000000;1.00000000000;;0E-11;3.00000000000;21.0000000000;0E-11;0165404;0163965;1.00000000000;SS 50 BIS DEL GRAPPA E DEL PASSO ROLLE (BL);1.00000000000;025022;79.70;7943
258353.000000;01654070165404;000000186026;2.00000000000;SS 50 BIS DEL GRAPPA E DEL PASSO ROLLE;1.00000000000;1.00000000000;2.00000000000;5.00000000000;;0E-11;3.00000000000;21.0000000000;0E-11;0165407;0165404;1.00000000000;SS 50 BIS DEL GRAPPA E DEL PASSO ROLLE (BL);1.00000000000;025022;86.27;9129
258354.000000;01639660176073;000000186026;2.00000000000;SS 50 BIS DEL GRAPPA E DEL PASSO ROLLE;1.00000000000;1.00000000000;1.00000000000;1.00000000000;;0E-11;3.00000000000;21.0000000000;0E-11;0163966;0176073;1.00000000000;SS 50 BIS DEL GRAPPA E DEL PASSO ROLLE (BL);1.00000000000;025022;710.87;9130
258355.000000;01639650214287;000000186026;2.00000000000;SS 50 BIS DEL GRAPPA E DEL PASSO ROLLE;1.00000000000;1.00000000000;1.00000000000;1.00000000000;;0E-11;3.00000000000;21.0000000000;0E-11;0163965;0214287;1.00000000000;SS 50 BIS DEL GRAPPA E DEL PASSO ROLLE (BL);1.00000000000;025022;240.39;9131
258356.000000;01904040190397;000000027131;2.00000000000;VIA FELTRE;2.00000000000;1.00000000000;1.00000000000;1.00000000000;;0E-11;3.00000000000;21.0000000000;0E-11;0190404;0190397;1.00000000000;SR 348 FELTRINA (BL);2.00000000000;025042;626.74;9157
258357.000000;01805100213043;000000186026;2.00000000000;SS 50 BIS DEL GRAPPA E DEL PASSO ROLLE;1.00000000000;1.00000000000;1.00000000000;1.00000000000;;0E-11;3.00000000000;21.0000000000;0E-11;0180510;0213043;1.00000000000;SS 50 BIS DEL GRAPPA E DEL PASSO ROLLE (BL);1.00000000000;025022;269.36;9158
258358.000000;01630950213137;000000186026;2.00000000000;SS 50 BIS DEL GRAPPA E DEL PASSO ROLLE;1.00000000000;1.00000000000;1.00000000000;1.00000000000;;0E-11;3.00000000000;21.0000000000;0E-11;0163095;0213137;1.00000000000;SS 50 BIS DEL GRAPPA E DEL PASSO ROLLE (BL);1.00000000000;025004;166.90;9159
258358.000000;01630950213137;000000186026;2.00000000000;SS 50 BIS DEL GRAPPA E DEL PASSO ROLLE;1.00000000000;1.00000000000;1.00000000000;1.00000000000;;0E-11;3.00000000000;21.0000000000;0E-11;0163095;0213137;1.00000000000;SS 50 BIS DEL GRAPPA E DEL PASSO ROLLE (BL);1.00000000000;025004;623.06;9159
258359.000000;01798390217388;000000186026;2.00000000000;SS 50 BIS DEL GRAPPA E DEL PASSO ROLLE;1.00000000000;1.00000000000;2.00000000000;1.00000000000;;0E-11;3.00000000000;21.0000000000;0E-11;0179839;0217388;1.00000000000;SS 50 BIS DEL GRAPPA E DEL PASSO ROLLE (BL);1.00000000000;025022;160.02;9160
258360.000000;01798390217389;000000186026;2.00000000000;SS 50 BIS DEL GRAPPA E DEL PASSO ROLLE;1.00000000000;1.00000000000;2.00000000000;1.00000000000;;0E-11;3.00000000000;21.0000000000;0E-11;0179839;0217389;1.00000000000;SS 50 BIS DEL GRAPPA E DEL PASSO ROLLE (BL);1.00000000000;025022;192.16;9161
258361.000000;01828590213041;000000186026;2.00000000000;VIA PRIMO MAGGIO;1.00000000000;1.00000000000;1.00000000000;1.00000000000;;0E-11;3.00000000000;21.0000000000;0E-11;0182859;0213041;1.00000000000;SS 50 BIS DEL GRAPPA E DEL PASSO ROLLE (BL);1.00000000000;025004;177.68;9162
258362.000000;01815850163095;000000186026;2.00000000000;VIA PRIMO MAGGIO;1.00000000000;1.00000000000;1.00000000000;1.00000000000;;0E-11;3.00000000000;21.0000000000;0E-11;0181585;0163095;1.00000000000;SS 50 BIS DEL GRAPPA E DEL PASSO ROLLE (BL);1.00000000000;025004;67.46;9163
258363.000000;02130400181585;000000186026;2.00000000000;VIA PRIMO MAGGIO;1.00000000000;1.00000000000;1.00000000000;1.00000000000;;0E-11;3.00000000000;21.0000000000;0E-11;0213040;0181585;1.00000000000;SS 50 BIS DEL GRAPPA E DEL PASSO ROLLE (BL);1.00000000000;025004;76.59;9164
